AwayTeam AT HomeTeam Line OverUnder
Bucs (-8.5, 47) at Jets	
Dolphins at Titans (-3, 47)	
Jaguars at Patriots (-5.5, 43.5)	
Raiders at Colts (-6, 49.5)	
Chiefs (-7.5, 49.5) at Bengals	
Giants at Bears (-2, 42)	
Falcons at Bills (-8.5, 49)	
Cardinals at Cowboys (-1.5, 52)	
Texans at 49ers (-13.5, 46)	
Broncos at Chargers (-3, 45)	
Rams at Ravens (-3, 42.5)	
Lions at Seahawks (-9.5, 45)	
Vikings at Packers (-3, 42.5)	
Browns (0, 43.5) at Steelers	
Cowboys (-2.5, 43.5) at Eagles	
Packers (-3.5, 45.5) at Lions	
Colts (-3, 48) at Jaguars	
FootballTeam at Giants (-1.5, 42.5)	
Bears at Vikings (-4, 45.5)	
Panthers at Bucs (-6.5, 47.5)	
Patriots at Dolphins (-2.5, 44)	
Saints at Falcons (-1, 48)	
Titans (-6, 47) at Texans	
Steelers at Ravens (-5.5, 44)	
Jets at Bills (-6.5, 44.5)	
Bengals at Browns (-6.5, 43)	
Chargers at Raiders (-1.5, 48.5)	
49ers at Rams (-3, 44.5)	
Chiefs (-3, 45.5) at Broncos	
Seahawks at Cardinals (-2, 49)	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
